"product_id","product_title","product_subtitle","product_px"
"1290140","UA Tech","Men’s  Polo Shirt","$39.99"
"1332663","UA Tech™ 6"" Boxerjock®","Men’s  Underwear","$20.00"
"1327037","UA Playoff 2.0","Men’s  Golf Polo Shirt","$65.00"
"1347260","Project Rock","Men’s  Tank Top","Sold Out"
"1309546","UA Showdown Tapered","Men’s  Golf Pants & Sweatpants","$80.00"
"1309545","UA Showdown","Men’s  Golf Pants & Sweatpants","$80.00"
"1328495","UA Tech™ ½ Zip","Men’s  Long Sleeve Shirt","$40.00"
"1327417","UA Tech™ 6"" Boxerjock®","Men’s  Underwear","$25.00"
"1332664","UA Tech™ 9"" Boxerjock®","Men’s  Underwear","$20.00"
"1290261","UA Sportstyle Joggers","Men’s  Pants & Sweatpants","$59.99"
"1342080","UA Performance Textured","Men’s  Golf Polo Shirt","$55.00"
"1309547","UA Showdown","Men’s  Golf Shorts","$65.00"
"1300124","UA Rival Fleece 2.0 Team","Men’s  Pants & Sweatpants","$44.99"
"1333570","UA Tech™ 6"" Boxerjock®","Men’s  Underwear","$25.00"
"1300123","UA Rival Fleece 2.0 Team","Men’s  Hoodie","$44.99"
"1306434","UA MK-1","Men’s  Shorts","$35.00"
"1239481","UA Vital Warm-Up","Men’s  Pants & Sweatpants","$34.99"
"1306325","UA Showdown Chino","Men’s  Golf Pants & Sweatpants","$85.00"
"1257468","UA HeatGear® Armour Compression Shirt","Men’s  Short Sleeve Shirt","$27.99"
"1257471","UA HeatGear® Armour Compression Shirt","Men’s  Long Sleeve Shirt","$34.99"
"1346067","Project Rock Warm-Up","Men’s  Hoodie","$80.00"
"1320745","Armour Fleece® ½ Zip","Men’s  Long Sleeve Shirt","$55.00"
"1272358","UA Match Play Vented","Men’s  Golf Shorts","$52.49"
"3022024","UA Project Rock 2","Men’s Training Shoes","$140.00"
"1320757","Armour Fleece®","Men’s  Pants & Sweatpants","$55.00"
"1257469","UA HeatGear® Armour Compression Shirt","Men’s  Tank Top","$24.99"
"1332662","UA Tech™ 3"" Boxerjock®","Men’s  Underwear","$20.00"
"1295287","Armour Fleece® Double Threat","Men’s  Pants & Sweatpants","$59.99"
"1306428","UA MK-1","Men’s  Short Sleeve Shirt","$30.00"
"1345318","UA Tech™","Men’s  Long Sleeve Shirt","$30.00"
"1346100","Project Rock Pay Your Dues","Men’s  Long Sleeve Shirt","$40.00"
"1298697","UA Charged Cotton® 2.0 No Show - 6-Pack","Adult Socks","$20.00"
